,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
12,찹쌀밥(추가),두부전골,아욱건새우전,우엉채곤약조림,나박김치,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,닭살카레감자밥+양념장,모듬버섯찌개,고구마순된장무침,주꾸미채소간장볶음,깍두기,S수제비,S쌀음료,팥밥(30),만두국,느타리버섯나물,팽이버섯부추나물,총각김치
13,옥수수밥(30),만두순두부찌개,콩나물찜,매콤콩나물무침,비트초절이,S둥글레차,S온도토리묵국,열무비빔밥,느타리버섯국,(고춧가루제외)노각무침,무말랭이,열무물김치,S고구마쉐이크,S건포도감자볼,찹쌀밥,만두닭개장,애호박볶음,두부채소굴소스볶음,단무지무침
14,잡곡밥,옥수수스프,오이소박이,양배추샐러드(참깨드레싱),총각김치,S매실차,S우유미숫가루,현미밥(40),김치국,느타리버섯나물,소고기모듬장조림,오이소박이김치,S단팥죽,S연두부샐러드(오리엔탈드레싱),소고기주먹밥,청경채맑은국,달걀말이,치커리겉절이,콜라비나박김치
15,일본식소고기덮밥(규동),굴두부국,찐만두,단배추멸치조림,나박김치,S식혜,S어묵탕,찹쌀밥,느타리버섯맑은국,주꾸미채소간장볶음,가지양념찜,깍두기,S건포도감자볼,S고구마쉐이크,고구마밥(40),버섯소고기국,도라지들깨나물,애호박볶음,단배추물김치
16,옥수수밥(30),유부실파국,콩나물찜,두부채소굴소스볶음,깻잎김치,S오이당근스틱,S수제바나나우유,율무밥,팥죽,뱅어포구이,empty,총각김치,S쌀음료,S참깨타락죽,돼지고기양배추덮밥,곤약어묵국,토마토소스닭조림,empty,열무김치
17,팥밥(30),바지락국,애호박나물,무말랭이,단무지무침,S식혜,S소고기감자죽,백김치볶음밥,만두닭개장,매콤콩나물무침,돼지고기김치볶음,깍두기,S연두부샐러드(오리엔탈드레싱),S고구마쉐이크,찹쌀밥,애호박젓국찌개,건새우애호박볶음,고구마순된장무침,나박김치
18,브로콜리채소볶음밥,어묵맑은국,닭가슴살데리야끼조림,뼈없는닭갈비,열무물김치,S건포도감자볼,S우유(200ml),찹쌀밥(추가),팥죽,느타리버섯나물,애호박생선살찜,오이소박이김치,S미숫가루,empty,수수밥(30),만두국,양배추샐러드(참깨드레싱),empty,오이피클
19,율무밥,애호박두부된장국,애호박볶음,무말랭이,깍두기,S우유(100ml),S연두부샐러드(오리엔탈드레싱),두부카레라이스,두부대합탕국,팽이버섯나물,감자그라탕,나박김치,S채소전,S쌀음료,콩밥(40),떡국떡미역국,느타리버섯당근볶음,empty,비트초절이
20,돼지고기양배추덮밥,만두국,봄동해물전,가지양념찜,단무지무침,S단호박식혜,S고구마쉐이크,찹쌀밥,두부전골,주꾸미채소간장볶음,느타리버섯나물,열무물김치,S건포도감자볼,empty,옥수수밥(30),맑은가쓰오부시장국,돼지사태찜,empty,열무김치
21,소고기가지덮밥,모듬버섯찌개,오징어부추전,고구마순된장무침,총각김치,S수제바나나우유,S쌀음료,수수밥(30),부추맑은국,가지양념무침,애호박건새우볶음,깍두기,S연두부샐러드(오리엔탈드레싱),empty,찹쌀밥(추가),팥죽,채소크로켓,크림떡볶이,비트초절이
22,돼지고기양배추덮밥,두부전골,양념가지찜,돼지사태찜,나박김치,S식혜,S크림소스스파게티,잡곡밥(40),느타리버섯맑은국,파프리카유자청무침,애호박볶음,단무지무침,S건포도감자볼,S고구마쉐이크,찹쌀밥,만두순두부찌개,매콤콩나물무침,느타리버섯나물,열무물김치
23,옥수수밥(30),차돌박이된장국,주꾸미채소간장볶음,얼갈이배추겉절이,비트초절이,S알리오올리오스파게티,S유자차,찹쌀밥(추가),두부감자국,크림떡볶이,무말랭이,깍두기,S우유미숫가루,S연두부샐러드(오리엔탈드레싱),율무밥,느타리버섯국,다시마감자채전,empty,총각김치
24,찹쌀팥밥,참외미역냉국,매콤콩나물무침,파래자반,열무김치,S건포도감자볼,S식혜,밤콩밥(30),두부전골,두부채소굴소스볶음,애호박볶음,나박김치,S고구마쉐이크,S소고기미역죽,돼지고기양배추덮밥,낙지연포탕,애호박나물,양념가지찜,오이소박이김치
25,수수밥(30),미역만두국,연근채소전,연근흑임자샐러드,동치미,S팥죽,S참외샐러드,찹쌀밥,애호박새우젓국찌개,도라지나물,empty,단무지,S쌀음료,S우유(100ml),찹쌀밥(추가),미니유부우동,깻잎육전,empty,총각김치
26,밤콩밥,만두국,토마토치즈샐러드,팽이버섯나물,비트초절이,S보리차,S연두부샐러드(오리엔탈드레싱),소고기가지덮밥,김치두부국,소불고기,애호박콩가루볶음,깻잎김치,S수제바나나우유,empty,찹쌀밥(30),팥죽,가지나물무침,단배추멸치조림,콜라비나박김치
27,잡곡밥(40),실파콩나물국,달걀채소볶음,무말랭이,열무물김치,S버섯장국죽,S우유미숫가루,새우편마늘볶음밥,아욱맑은국,게살마요무침,마카로니채소샐러드(마요네즈),깍두기,S건포도감자볼,S쌀음료,쌀밥(추가),맑은가쓰오부시장국,참나물겉절이,돼지고기짜장볶음,석박지
28,콩밥(40),콩나물육개장,볼어묵채소조림,더덕사과무침,갓김치,S코코아,S수제바나나우유,율무밥,감자국,양배추유자청샐러드,가지나물무침,총각김치,S연두부샐러드(오리엔탈드레싱),S소고기우엉죽,소고기가지덮밥,아욱우렁된장국,팽이버섯달걀전,매콤콩나물무침,비트초절이
29,찹쌀밥(추가),만두국,애호박건새우볶음,냉이무침,깍두기,S보리차,S마카로니채소샐러드,소고기비빔밥,느타리버섯국,건새우애호박볶음,닭가슴살데리야끼조림,깻잎김치,S우유(100ml),S팥죽,팥밥(30),애호박맑은국,파프리카유자청무침,empty,오이소박이김치
30,밤콩밥(30),만두닭개장,양념가지찜,(고춧가루제외)부추사과무침,비트초절이,S복숭아호두스무디,S연두부샐러드(오리엔탈드레싱),찹쌀밥,미역만두국,배무생채,empty,총각김치,S두부채소죽,S쌀음료,돼지고기양배추덮밥,감자달걀국,무말랭이,empty,나박김치
31,소고기김주먹밥,실파김국,주꾸미떡볶음,팽이버섯달걀전,열무물김치,S우유(200ml),S대추우유스프,율무밥(40),감자국,웨지감자,도토리묵상추무침,깍두기,S단호박식혜,S과일샐러드(마요네즈),콩밥,부추맑은국,미나리무침,감자햄볶음,깻잎김치
32,찹쌀밥(추가),만두국,도라지무침,채소크로켓,오이소박이김치,S쌀음료,S소고기우엉죽,수수밥(30),애호박맑은국,냉이무침,느타리버섯나물,열무김치,S마카로니채소샐러드,S수제바나나우유,일본식소고기덮밥(규동),모듬버섯찌개,감자어묵볶음,건새우애호박볶음,비트초절이
33,찹쌀현미밥(30),청국장찌개,도라지배무침,아욱건새우전,동치미,S건포도감자볼,S우유(100ml),소고기가지덮밥,김치두부찌개,애호박생선살찜,마카로니콘샐러드,열무물김치,S토마토주스,S팥죽,밤콩밥,두부전골,우엉채곤약조림,매콤주꾸미볶음,깍두기
34,찹쌀밥(추가),팥죽,비빔만두,냉이무침,비트초절이,S수제바나나우유,S쌀음료,브로콜리채소볶음밥,미니유부우동,오징어새우볶음,empty,총각김치,S치즈게살죽,S연두부샐러드(오리엔탈드레싱),수수밥(30),사골파국,건새우애호박볶음,empty,오이소박이김치
35,쌀밥(추가),만두국,크래미채소볶음,애호박건새우볶음,열무물김치,S우유(100ml),S단호박식혜,찹쌀밥(30),모듬버섯찌개,도라지무침,참외노각무침,깍두기,S소고기우엉죽,S건포도감자볼,밤콩밥,감자양파국,너비아니채소볶음,모듬튀김,나박김치
36,찹쌀팥밥(40),두부대합탕국,명엽채고추장조림,주꾸미볶음,오이소박이김치,S연두부샐러드(오리엔탈드레싱),S우유미숫가루,찹쌀밥(추가),콩가루쑥국,파프리카유자청무침,무말랭이,비트초절이,S매실차,S소고기브로콜리죽,콩밥,맑은꽃게탕,미나리무침,애호박콩가루볶음,총각김치
37,소고기가지덮밥,만두국,건새우애호박볶음,채소크로켓,깍두기,S우유(100ml),S미숫가루,밤콩밥,애호박맑은국,고구마순된장무침,과일땅콩샐러드,나박김치,S참외샐러드,empty,고구마밥(30),조랭이떡미역국,우엉채곤약조림,empty,열무물김치
38,콩밥,채소스프,주꾸미볶음,냉이나물,총각김치,S연두부샐러드(오리엔탈드레싱),S당근김죽,찹쌀팥밥,맑은가쓰오부시장국,모듬버섯전,무말랭이,오이피클,S수제바나나우유,S오미자아이스크림,수수밥(30),바지락맑은국,감자어묵볶음,취나물된장무침,비트초절이
39,팥밥(30),미역만두국,고구마순된장무침,empty,열무물김치,S쌀음료,S팥죽,옥수수밥,만두국,감자샐러드,empty,나박김치,S건포도감자볼,S우유(150ml),소고기가지덮밥,깻잎된장찌개,애호박볶음,empty,깍두기
40,옥수수밥(30),팥죽,건새우애호박볶음,가지양념찜,동치미,S감자샐러드,S수제바나나우유,돼지고기양배추덮밥,애호박젓국찌개,어묵감자조림,애호박나물,석박지,S둥글레차,S동태살죽,쌀밥(추가),만두닭개장,달걀치즈말이,양배추샐러드(레몬드레싱),총각김치
41,파프리카유부초밥,배추맑은국,무말랭이,매콤주꾸미볶음,열무물김치,S연두부샐러드(오리엔탈드레싱),S우유(100ml),율무밥,만두국,김치녹두전,애호박생선살찜,비트초절이,S검정콩두유죽,S단호박식혜,밤콩밥(40),어묵탕,양배추쌈,empty,깍두기
42,잡곡밥(30),실파맑은국,알감자조림,메추리알곤약조림,총각김치,S건포도감자볼,S쌀음료,밤콩밥,두부감자국,깻잎새콤무침,부추달걀볶음,나박김치,S된장취나물죽,S우유미숫가루,소고기굴소스볶음밥,부추새우맑은국,파인콘샐러드,감자채볶음,단배추물김치
43,브로콜리채소볶음밥,만두국,상추사과초무침,채소크로켓,깍두기,S연두부샐러드(오리엔탈드레싱),S소고기무죽,고구마밥(30),조랭이떡미역국,고구마순된장무침,느타리버섯나물,석박지,S수제바나나우유,S토마토주스,찹쌀밥(추가),느타리버섯국,건새우애호박볶음,크림떡볶이,비트초절이
44,밤콩밥,미니유부우동,취나물들깨무침,마늘쫑무침,열무물김치,S우유(100ml),S단호박식혜,소고기가지덮밥,새우살미역국,도라지무침,empty,나박김치,S소고기우엉죽,S건포도감자볼,팥밥(30),된장찌개,토마토치즈샐러드,empty,백김치
45,콩밥,두부전골,고구마순된장무침,느타리버섯나물,열무김치,S참외샐러드,S소고기옥수수죽,찹쌀밥(추가),만두국,군만두,감자버터구이,총각김치,S수제바나나우유,S쌀음료,율무밥(40),모듬버섯찌개,코울슬로,애호박건새우볶음,오이피클
46,찹쌀밥,유부실파국,주꾸미채소간장볶음,가지양념찜,콜라비나박김치,S건포도감자볼,S고구마쉐이크,돼지고기양배추덮밥,어탕국수,콩자반,배무생채,비트초절이,S오렌지주스(무가당),empty,옥수수밥(30),만두닭개장,건새우애호박볶음,돼지사태찜,깍두기
47,찹쌀밥(추가),청국장국,얼갈이무침,오이무침,열무물김치,S우유(200ml),S브로콜리죽,소고기굴소스볶음밥,김치두부국,달걀치즈말이,양배추샐러드(레몬드레싱),석박지,S단호박식혜,S감말랭이,밤콩밥(30),게살스프,연근감자전,마카로니채소샐러드(마요네즈),총각김치
48,흑미밥(40),팥죽,유산슬,모듬버섯전,오이소박이김치,S호두우유,S우엉주먹밥,찹쌀현미밥(30),유부김치국,양배추무침,오이부추생채,오이피클,S쌀음료,S푸실리샐러드,김치영양밥,새우맑은국,달래김무침,연근채소전,나박김치
49,찹쌀밥(30),배추국,애호박볶음,크래미채소볶음,비트초절이,S치즈죽,S단호박샐러드(마요네즈),완두콩밥,버섯찌개,순살간장닭갈비,채소비빔소면,깍두기,S바나나쉐이크,S토마토주스,불고기채소비빔밥,쑥갓어묵탕,감자버터구이,empty,총각김치
50,흑미밥(40),채소스프,아욱나물무침,크래미채소볶음,총각김치,S오렌지주스(무가당),S흰죽,달걀버섯볶음밥,달래된장국,장산적조림,닭살표고버섯볶음,동치미,S건포도감자볼,S수제블루베리우유,콩밥,실파달걀국,돼지고기구이,무말랭이,깍두기
51,소고기가지덮밥,미니유부우동,도라지무침,검정콩호두조림,나박김치,S연두부샐러드(오리엔탈드레싱),S고구마쉐이크,율무밥,감자미역국,냉이무침,팽이버섯나물,비트초절이,S쌀음료,empty,팥밥(30),애호박맑은국,느타리버섯나물,고구마순된장무침,오이소박이김치
52,찹쌀밥,참외미역냉국,치즈감자조림,얼갈이무침,총각김치,S복숭아호두스무디,S감자샐러드,옥수수밥(30),온청포묵국,양념가지찜,애호박볶음,열무물김치,S식혜,S짜장떡볶이,크림소스스파게티,empty,무말랭이,empty,단배추물김치
53,찹쌀밥(추가),맑은닭개장,닭가슴살데리야끼조림,건새우애호박볶음,깍두기,S수제바나나우유,S연두부샐러드(오리엔탈드레싱),팥밥(30),건새우아욱토장국,애호박생선살찜,브로콜리조갯살전,비트초절이,S쌀음료,S팥죽,소고기가지덮밥,느타리버섯국,우엉채곤약조림,팽이버섯볶음,나박김치
54,잡곡밥,청경채맑은국,양배추샐러드(참깨드레싱),오이소박이,총각김치,S매실차,S우유미숫가루,수수밥(30),옥수수스프,감자부추전,달걀말이,동치미,S참외샐러드,S단팥죽,일본식소고기덮밥(규동),김치국,소고기모듬장조림,치커리겉절이,콜라비나박김치
55,옥수수밥,모듬버섯찌개,매콤낙지채소볶음,건새우애호박볶음,오이소박이김치,S우유(100ml),S소고기옥수수죽,팥밥(30),애호박맑은국,견과류고구마범벅,느타리버섯나물,석박지,S연두부샐러드(오리엔탈드레싱),S쌀음료,소고기가지덮밥,만두국,팽이버섯나물,도라지무침,깍두기
56,옥수수밥(30),호박맑은국,옥수수채소튀김,매콤콩나물무침,나박김치,S크림소스스파게티,S식혜,돼지고기양배추덮밥,두부전골,주꾸미채소간장볶음,애호박볶음,총각김치,S고구마쉐이크,S건포도감자볼,찹쌀밥,만두순두부찌개,(고춧가루제외)갈치조림,우엉채곤약조림,비트초절이
57,기장밥,매콤애호박국,닭살표고버섯볶음,달걀간장조림,단배추물김치,S치즈스틱,S마카로니채소샐러드,찹쌀팥밥,팥죽,브로콜리견과류볶음,돼지고기우엉잡채,얼갈이배추김치,S우유(100ml),S쌀음료,수수밥(30),홍합살맑은국,미나리초무침,스크램블에그,깍두기
58,밤콩밥(40),아욱맑은국,열무볶음,닭살양배추볶음,파김치,S고구마쉐이크,S단호박죽,밤콩밥,감자탕,해물김치전,목이버섯실파제육볶음,동치미,S오렌지주스,S건포도감자볼,가지채소볶음밥,감자국,주꾸미채소볶음,empty,총각김치
59,취나물표고영양밥,목살김치국,아욱나물무침,콩나물냉채,나박김치,S우유미숫가루,S게살치즈죽,찹쌀밥,아욱우렁된장국,봄동해물전,고구마줄기볶음,열무김치,S연두부샐러드(오리엔탈드레싱),S단호박식혜,현미밥(30),삼계탕,얼갈이무침,파래자반,깻잎김치
60,찹쌀밥(추가),만두국,건새우애호박볶음,우엉채곤약조림,비트초절이,S마카로니채소샐러드,S토마토주스,일본식소고기덮밥(규동),모듬버섯찌개,가지구이,파프리카유자청무침,깍두기,S채소전,S수제바나나우유,수수밥(30),팥죽,참외노각무침,달걀치즈말이,총각김치
61,팥밥(30),낙지연포탕,고구마순된장무침,생선까스,오이소박이김치,S연두부샐러드(오리엔탈드레싱),S소고기우엉죽,옥수수밥,미니유부우동,냉이무침,empty,나박김치,S우유(100ml),S단호박식혜,소고기가지덮밥,느타리버섯국,무말랭이,empty,열무물김치
62,수수밥(30),모듬버섯찌개,애호박건새우볶음,느타리버섯나물,오이피클,S쌀음료,S수제바나나우유,일본식소고기덮밥(규동),만두국,깻잎들깨나물,팽이버섯나물,동치미,S참깨우유스프,S참외샐러드,밤콩밥,애호박맑은국,단호박달걀찜,empty,비트초절이
63,찹쌀밥,느타리버섯국,(고춧가루제외)부추사과무침,두부채소굴소스볶음,나박김치,S팥죽,S고구마쉐이크,옥수수밥(30),우렁이된장국,팽이버섯부추나물,매콤콩나물무침,총각김치,S망고주스,S연두부샐러드(오리엔탈드레싱),소고기김주먹밥,해물탕,가지양념찜,애호박나물,깍두기
64,밤콩밥(30),달래된장국,두부잡채,메추리알고구마조림,단배추물김치,S건포도감자볼,S청경채죽,밤찹쌀팥밥,감자탕,닭고기냉채,느타리버섯나물,파김치,S수제딸기우유,S쌀음료,달걀버섯볶음밥,아욱맑은국,미나리초무침,열무볶음,오이소박이김치
65,팥밥(30),만두국,팽이버섯부추나물,채소크로켓,비트초절이,S참외샐러드,S토마토주스,찹쌀밥(추가),멸치장국,고구마순된장무침,우엉채곤약조림,깍두기,S수제바나나우유,empty,소고기가지덮밥,조랭이떡미역국,참외노각무침,애호박건새우볶음,나박김치
66,고구마밥(40),소갈비탕,무말랭이,애호박양파볶음,동치미,S오렌지주스(무가당),S건포도감자볼,밤찹쌀팥밥,새우살시금치국,양배추샐러드(레몬드레싱),단호박해물찜,단무지,S우엉채소볶음밥,S우유미숫가루,새우크림스파게티,empty,춘권튀김,돼지고기찹쌀구이,단배추물김치
67,밤콩밥(30),애호박새우젓국,느타리버섯나물,매콤콩나물무침,나박김치,S호두우유,S멸치죽,열무비빔밥,느타리버섯국,배무생채,양념가지찜,열무김치,S쌀음료,S연두부샐러드(오리엔탈드레싱),찹쌀밥,팥죽,가지양념찜,후라이드치킨,총각김치
68,수수밥(30),만두국,채소크로켓,팽이버섯나물,열무물김치,S우유(100ml),S단호박크림리조또,일본식소고기덮밥(규동),애호박맑은국,돌나물흑임자샐러드,우엉채곤약조림,비트초절이,S토마토주스,S건포도감자볼,찹쌀밥(추가),조랭이떡미역국,애호박건새우볶음,고구마순된장무침,깍두기
69,팥밥(30),바지락파래국,무말랭이,냉이나물,총각김치,S미숫가루,S수제바나나우유,닭살카레감자밥+양념장,느타리버섯국,주꾸미채소간장볶음,empty,오이소박이김치,S마카로니채소샐러드,S소고기우엉죽,밤콩밥,두부전골,건새우애호박볶음,empty,나박김치
70,가지채소볶음밥,팥죽,열무볶음,닭고기냉채,깍두기,S연두부샐러드(오리엔탈드레싱),S수제딸기우유,수수밥(30),감자탕,미나리초무침,두부잡채,파김치,S청경채죽,S쌀음료,밤찹쌀팥밥,배추된장국,해물김치전,메추리알고구마조림,열무물김치
71,찹쌀밥(추가),조갯살된장찌개,채소크로켓,팽이버섯부추나물,총각김치,S우유(100ml),S매실차,팥밥(30),모듬버섯찌개,무말랭이,도라지나물,콜라비나박김치,S온도토리묵밥,S오이당근스틱,소고기가지덮밥,찹쌀옹심이국,치즈감자조림,소고기청경채볶음,동치미
72,찹쌀팥밥,순두부찌개,다시마감자채전,애호박콩가루볶음,비트초절이,S보리차,S우유미숫가루,밤찹쌀팥밥(30),달래맑은국,파프리카유자청무침,새우살달걀찜,열무김치,S참깨채소죽,S연두부샐러드(오리엔탈드레싱),찹쌀밥,건새우시금치국,닭다리살장조림,훈제오리단호박볶음,깍두기
73,흑미밥(40),애호박맑은국,건새우애호박볶음,연근흑임자샐러드,총각김치,S바나나쉐이크,S온도토리묵국,일본식소고기덮밥(규동),모듬버섯찌개,채소크로켓,동태포전,나박김치,S건포도감자볼,S쌀음료,밤콩밥(30),조랭이떡미역국,팽이버섯부추나물,참나물볶음,오이소박이김치
74,소고기가지덮밥,팥죽,소고기우엉조림,애호박건새우볶음,깍두기,S토마토주스,S연두부샐러드(오리엔탈드레싱),콩밥(40),낙지연포탕,깐쇼새우,empty,열무물김치,S수제바나나우유,empty,찹쌀밥(추가),유부실파국,냉이무침,empty,비트초절이
75,옥수수밥(30),콩나물육개장,파래자반,애호박볶음,총각김치,S건포도감자볼,S복숭아호두스무디,찹쌀팥밥,느타리버섯국,취나물무침,돼지고기짜장볶음,나박김치,S쌀음료,S버섯채소죽,팥찹쌀밥,미역만두국,(고춧가루제외)부추사과무침,고구마순된장무침,열무김치
76,찹쌀밥,두부전골,배무생채,매콤콩나물무침,열무물김치,S소고기미역죽,S연두부샐러드(오리엔탈드레싱),팥밥(30),호박맑은국,느타리버섯나물,주꾸미채소간장볶음,깍두기,S단호박식혜,S고구마쉐이크,돼지고기양배추덮밥,만두닭개장,봄동해물전,콩나물냉채,단무지무침
77,소고기카레라이스,모듬어묵국,브로콜리견과류볶음,두부참치샐러드(유자청드레싱),얼갈이배추김치,S우유(200ml),S청경채죽,수수밥(30),우동국물,감자버터구이,무말랭이,오이소박이김치,S쌀음료,S고구마샐러드(마요네즈),기장밥,감자탕,감자어묵볶음,브로콜리양배추찜,총각김치
78,팥밥(30),콩나물육개장,돌나물흑임자샐러드,파프리카유자청무침,단무지무침,S건포도감자볼,S단호박식혜,찹쌀밥,두부전골,주꾸미채소간장볶음,고구마순된장무침,깍두기,S수제바나나우유,S소고기미역죽,일본식소고기덮밥(규동),미역만두국,가지양념찜,매콤콩나물무침,비트초절이
79,돼지고기양배추덮밥,애호박새우젓국,군만두,양념가지찜,나박김치,S고구마쉐이크,S쌀음료,찹쌀밥(추가),곤약어묵국,배무생채,애호박볶음,열무김치,S연두부샐러드(오리엔탈드레싱),S크림소스스파게티,옥수수밥(30),미니유부우동,가지구이,김치녹두전,총각김치
80,팥밥(30),애호박맑은국,고구마순된장무침,돌나물흑임자샐러드,오이소박이김치,S건포도감자볼,S미숫가루,밤콩밥,만두국,느타리버섯나물,도라지나물,열무물김치,S크림리조또,S수제바나나우유,일본식소고기덮밥(규동),느타리버섯국,냉이무침,미트볼피망조림,비트초절이
81,수수밥(30),미니유부우동,감자버터구이,채소크로켓,나박김치,S단호박크림리조또,S참외샐러드,찹쌀밥(추가),감자미역국,팽이버섯부추나물,애호박건새우볶음,오이피클,S쌀음료,S우유(100ml),흑미밥,두부전골,팽이버섯나물,empty,깍두기
82,소고기가지덮밥,모듬버섯찌개,무말랭이,도라지나물,오이소박이김치,S크림소스스파게티,S수제바나나우유,팥밥(30),맑은닭개장,단배추멸치조림,참외노각무침,비트초절이,S감자샐러드,S둥글레차,밤콩밥,느타리버섯국,동그랑땡전,empty,총각김치
83,돼지고기양배추덮밥,만두순두부찌개,가지양념찜,느타리버섯나물,나박김치,S연두부샐러드(오리엔탈드레싱),S식혜,옥수수밥(30),만두닭개장,두부채소굴소스볶음,매콤콩나물무침,열무물김치,S고구마쉐이크,empty,찹쌀밥,온청포묵국,배무생채,양념가지찜,단무지무침
84,열무비빔밥,만두국,고구마순된장무침,주꾸미채소간장볶음,비트초절이,S치즈스틱,S복숭아호두스무디,찹쌀밥(추가),느타리버섯국,애호박나물,(고춧가루제외)부추사과무침,깍두기,S오렌지주스(무가당),S건포도감자볼,밤콩밥(30),설렁탕+소면,애호박볶음,우엉채곤약조림,총각김치
85,수수밥(30),두부전골,느타리버섯나물,가지구이,열무김치,S연두부샐러드(오리엔탈드레싱),S수제블루베리우유,옥수수밥,애호박맑은국,해물김치전,무말랭이,오이소박이김치,S쌀음료,S소고기옥수수죽,일본식소고기덮밥(규동),모듬버섯찌개,팽이버섯나물,채소크로켓,열무물김치
86,율무밥(30),바지락된장국,양상추샐러드(오리엔탈드레싱),돼지고기짜장볶음,비트초절이,S바나나쉐이크,S참깨우유스프,찹쌀보리밥,매콤애호박국,참나물간장무침,열무볶음,깍두기,S감자채요거트샐러드,S검은깨두유(100ml),돼지고기카레볶음밥,감자탕,브로콜리채소볶음,empty,총각김치
87,밤콩밥,감자호박국,주꾸미채소간장볶음,메추리알곤약조림,열무김치,S연두부샐러드(오리엔탈드레싱),S단팥죽,밤콩밥(40),감자채맑은국,얼갈이배추겉절이,모듬견과조림,열무물김치,S쌀음료,S수제블루베리우유,쌀밥(추가),콩나물국,닭안심사과볶음,오이볶음,나박김치
88,취나물표고영양밥,미역만두국,새우살볶음,애호박생선살찜,비트초절이,S소고기우엉죽,S수제바나나우유,율무밥,두부대합탕국,새우살채소볶음,empty,깍두기,S건포도감자볼,S단호박식혜,옥수수밥(40),만두닭개장,더덕사과무침,empty,단무지
